text,category
facial pain allergic reaction apnea painful sinuses nosebleed,Respiratory
anxiety and nervousness insomnia delusions or hallucinations,Mental
depressive or psychotic symptoms emotional symptoms excessive anger,Mental
anxiety and nervousness depression shortness of breath sharp chest pain palpitations irregular heartbeat fears and phobias,Mental
"skin growth skin moles skin dryness, peeling, scaliness, or roughness",Skin
headache back pain neck pain low back pain problems with movement loss of sensation paresthesia,Musculoskeletal
abnormal involuntary movements diarrhea peripheral edema weight gain,Digestive
sharp chest pain symptoms of the scrotum and testes headache wrist pain back pain shoulder pain lower body pain,Musculoskeletal
chest tightness cough nasal congestion weakness decreased heart rate,Respiratory
depression lack of growth abusing alcohol hostile behavior seizures temper problems,Mental
blood in stool sharp abdominal pain nausea burning abdominal pain constipation,Digestive
skin swelling skin lesion skin growth skin rash,Skin
sore throat nasal congestion headache painful sinuses,Respiratory
sharp chest pain sharp abdominal pain vomiting nausea back pain heartburn upper abdominal pain,Digestive
wrist pain arm pain back pain neck pain knee pain foot or toe pain ankle pain shoulder pain,Musculoskeletal
leg pain hip pain back pain neck pain loss of sensation shoulder pain leg weakness,Musculoskeletal
leg pain paresthesia,Musculoskeletal
blood in stool vomiting nausea vomiting blood burning abdominal pain heartburn changes in stool appearance,Digestive
hoarse voice nasal congestion vomiting wheezing fever coryza abnormal breathing sounds pulling at ears,Respiratory
sharp chest pain chest tightness vomiting burning abdominal pain heartburn upper abdominal pain,Digestive
sharp abdominal pain nausea back pain burning abdominal pain heartburn regurgitation.1,Digestive
retention of urine sharp abdominal pain vomiting nausea burning abdominal pain,Digestive
arm pain back pain neck pain low back pain loss of sensation,Musculoskeletal
shortness of breath sharp chest pain chest tightness sore throat nasal congestion wheezing coughing up sputum congestion in chest,Respiratory
toothache restlessness neck swelling mouth pain,General
diminished vision symptoms of eye eye redness lacrimation itchiness of eye eye burns or stings,General
lack of growth acne or pimples irregular appearing scalp skin moles skin rash,Skin
suprapubic pain sharp abdominal pain vaginal itching lower abdominal pain vaginal pain vulvar irritation,General
groin mass pain in testicles sharp abdominal pain lower abdominal pain ache all over groin pain,Digestive
"skin swelling abnormal appearing skin skin lesion acne or pimples skin growth skin dryness, peeling, scaliness, or roughness skin irritation itchy scalp skin rash",Skin
arm pain back pain loss of sensation paresthesia ache all over,Musculoskeletal
sharp abdominal pain vaginal itching pelvic pain vaginal pain,General
jaundice nausea diarrhea peripheral edema unusual color or odor to urine,Digestive
shortness of breath chest tightness cough weight gain leg swelling difficulty breathing,General
retention of urine involuntary urination blood in urine vaginal pain,General
blood in stool sharp abdominal pain vomiting nausea burning abdominal pain decreased appetite fluid retention,Digestive
groin mass symptoms of the scrotum and testes sharp abdominal pain regurgitation swollen abdomen regurgitation.1 irregular belly button,Digestive
vomiting diarrhea pelvic pain painful menstruation,General
abnormal appearing skin acne or pimples skin growth irregular appearing scalp too little hair skin rash,Skin
abnormal appearing skin skin lesion skin growth neck mass bones are painful,Skin
frequent urination blood in urine,General
wrist pain hand or finger swelling bones are painful elbow pain,Musculoskeletal
insomnia drug abuse headache smoking problems,Mental
"skin swelling lip swelling abnormal appearing skin skin growth irregular appearing scalp skin moles skin dryness, peeling, scaliness, or roughness skin irritation warts",Skin
skin swelling acne or pimples too little hair skin rash,Skin
blood in stool diarrhea heartburn weakness unusual color or odor to urine,Digestive
"skin swelling abnormal appearing skin skin growth irregular appearing scalp skin dryness, peeling, scaliness, or roughness itchy scalp skin rash",Skin
sharp abdominal pain vomiting nausea diarrhea lower abdominal pain heartburn rectal bleeding,Digestive
leg pain arm pain arm stiffness or tightness knee swelling shoulder pain shoulder stiffness or tightness elbow swelling,Musculoskeletal
hand or finger swelling arm pain loss of sensation paresthesia arm weakness,Musculoskeletal
pus draining from ear pain in eye foreign body sensation in eye spots or clouds in vision,General
hip pain neck pain low back pain loss of sensation side pain lower body pain groin pain back cramps or spasms back stiffness or tightness,Musculoskeletal
hand or finger pain back pain elbow pain loss of sensation paresthesia shoulder pain hand or finger weakness,Musculoskeletal
hand or finger pain wrist pain arm pain arm stiffness or tightness hand or finger stiffness or tightness,Musculoskeletal
sore throat cough fever tongue lesions constipation skin rash,General
sharp chest pain vomiting headache diarrhea vomiting blood fever regurgitation.1,Digestive
nasal congestion vomiting fever difficulty breathing pulling at ears,Respiratory
depressive or psychotic symptoms lack of growth hostile behavior restlessness temper problems fears and phobias,Mental
skin swelling arm swelling fluid retention itching of skin,Skin
hip pain headache arm pain neck pain loss of sensation paresthesia shoulder pain,Musculoskeletal
anxiety and nervousness shortness of breath abnormal involuntary movements,Mental
shortness of breath chest tightness cough nasal congestion wheezing fever difficulty breathing coryza,Respiratory
shortness of breath sharp chest pain chest tightness throat feels tight increased heart rate,Musculoskeletal
"neck swelling foot or toe pain foot or toe swelling skin on leg or foot looks infected skin dryness, peeling, scaliness, or roughness",Skin
sore throat throat swelling difficulty in swallowing toothache abnormal appearing skin,Skin
anxiety and nervousness sharp abdominal pain diarrhea burning abdominal pain upper abdominal pain,Digestive
sore throat cough vomiting nausea diarrhea,Respiratory
vaginal itching fluid retention itching of skin,Skin
depression abusing alcohol temper problems obsessions and compulsions,Mental
shortness of breath sore throat cough nasal congestion wheezing fever difficulty breathing coryza,Respiratory
hoarse voice difficulty speaking ear pain fever coryza,Respiratory
arm pain wrist swelling arm swelling wrist stiffness or tightness elbow pain shoulder pain elbow swelling,Musculoskeletal
anxiety and nervousness depressive or psychotic symptoms hostile behavior delusions or hallucinations,Mental
retention of urine suprapubic pain sharp abdominal pain lower abdominal pain back pain regurgitation regurgitation.1 symptoms of bladder,General
depressive or psychotic symptoms insomnia slurring words temper problems loss of sex drive,Mental
"skin swelling abnormal appearing skin itching of skin skin dryness, peeling, scaliness, or roughness",Skin
difficulty in swallowing sharp abdominal pain vomiting nausea diarrhea,Digestive
wrist pain elbow pain loss of sensation shoulder pain hand or finger weakness,General
sharp abdominal pain vomiting headache diarrhea decreased appetite chills,Digestive
vomiting nausea diarrhea burning abdominal pain decreased appetite stomach bloating,Digestive
dizziness abnormal involuntary movements fainting vomiting antisocial behavior,Mental
ear pain ache all over chills,Respiratory
"skin lesion skin growth irregular appearing scalp skin moles itching of skin skin dryness, peeling, scaliness, or roughness skin rash",Skin
arm pain back pain neck pain knee pain loss of sensation paresthesia shoulder pain lower body pain,Musculoskeletal
nasal congestion ear pain fever chills flu-like syndrome,Respiratory
arm pain arm stiffness or tightness neck swelling bones are painful shoulder pain shoulder swelling,Musculoskeletal
"skin lesion skin growth lymphedema itching of skin skin dryness, peeling, scaliness, or roughness",Skin
skin lesion skin growth irregular appearing scalp skin moles,Skin
vomiting headache nausea diarrhea chills,Digestive
vomiting hand or finger swelling itching of skin,General
sharp abdominal pain low back pain pelvic pain,Musculoskeletal
arm pain knee pain ankle pain,Musculoskeletal
sharp abdominal pain pain of the anus lower body pain constipation mass or swelling around the anus,Digestive
shortness of breath dizziness palpitations throat feels tight increased heart rate,Musculoskeletal
shortness of breath insomnia disturbance of memory fatigue,Mental
sharp abdominal pain nausea diarrhea burning abdominal pain lower body pain upper abdominal pain hemoptysis,Digestive
skin swelling abnormal appearing skin itching of skin,Skin
hand or finger pain wrist pain hand or finger swelling arm pain wrist swelling arm stiffness or tightness arm swelling joint pain,Musculoskeletal
anxiety and nervousness depression drug abuse pain during pregnancy excessive anger delusions or hallucinations,Mental
lip swelling abnormal appearing skin acne or pimples skin growth skin irritation wrinkles on skin,Skin
leg pain arm stiffness or tightness elbow pain leg swelling elbow swelling,Musculoskeletal
difficulty speaking cough throat feels tight difficulty in swallowing fever coryza,Respiratory
shortness of breath dizziness palpitations throat feels tight lymphedema,General
blood in stool sharp abdominal pain pain of the anus heartburn changes in stool appearance mass or swelling around the anus itching of the anus,Digestive
suprapubic pain nausea painful urination lower abdominal pain blood in urine low back pain side pain,General
skin swelling lip swelling irregular appearing scalp skin irritation warts,Skin
depressive or psychotic symptoms difficulty speaking hostile behavior problems with movement slurring words disturbance of memory,Mental
suprapubic pain painful urination frequent urination vaginal discharge burning abdominal pain vaginal redness,General
abnormal appearing skin skin growth irregular appearing scalp long menstrual periods skin rash,Skin
anxiety and nervousness hostile behavior excessive anger disturbance of memory temper problems,Mental
problems with movement weakness disturbance of memory stiffness all over,General
shortness of breath palpitations cough feeling ill difficulty breathing fatigue,Respiratory
blood in stool jaundice sharp abdominal pain heartburn side pain upper abdominal pain unusual color or odor to urine,Digestive
sharp abdominal pain hot flashes intermenstrual bleeding,General
skin swelling skin lesion skin growth irregular appearing scalp,Skin
sore throat difficulty in swallowing mouth ulcer decreased appetite,Digestive
sharp chest pain cough sharp abdominal pain weakness side pain difficulty breathing rib pain hurts to breath,Respiratory
anxiety and nervousness depressive or psychotic symptoms lack of growth fainting hostile behavior excessive anger,Mental
depression depressive or psychotic symptoms difficulty speaking abusing alcohol delusions or hallucinations fears and phobias,Mental
dizziness vomiting blood weakness melena rectal bleeding,Digestive
depression depressive or psychotic symptoms abusing alcohol temper problems hysterical behavior,Mental
vomiting fever difficulty breathing,Respiratory
sore throat vomiting headache diarrhea fever chills,Respiratory
shortness of breath blood in stool sharp abdominal pain nausea weakness side pain upper abdominal pain unusual color or odor to urine,Digestive
sharp chest pain cough nasal congestion vomiting wheezing weakness coryza,Respiratory
lower abdominal pain knee lump or mass,Digestive
anxiety and nervousness hostile behavior vomiting blood smoking problems,Mental
depression lack of growth hostile behavior antisocial behavior,Mental
anxiety and nervousness depression dizziness sharp abdominal pain nausea,Mental
difficulty in swallowing sharp abdominal pain vomiting,Digestive
depression difficulty speaking hostile behavior irregular appearing scalp eye burns or stings disturbance of memory,Mental
retention of urine vomiting lower abdominal pain rectal bleeding constipation,Digestive
nasal congestion flu-like syndrome,Respiratory
intermenstrual bleeding pelvic pain burning abdominal pain spotting or bleeding during pregnancy uterine contractions heavy menstrual flow,General
shortness of breath sharp chest pain cough nasal congestion vomiting wheezing difficulty breathing coryza,Respiratory
skin swelling abnormal appearing skin skin lesion acne or pimples skin growth irregular appearing scalp skin irritation,Skin
shortness of breath retention of urine jaundice sharp abdominal pain,Digestive
sharp chest pain irregular heartbeat difficulty in swallowing leg pain,Musculoskeletal
headache diarrhea burning abdominal pain fever chills fluid retention flu-like syndrome,Digestive
skin swelling skin lesion groin pain vulvar sore,General
hand or finger swelling wrist swelling knee pain leg swelling foot or toe swelling joint pain,Musculoskeletal
shortness of breath sharp chest pain chest tightness cough vomiting fever coryza,Respiratory
lower abdominal pain vaginal discharge pelvic pain heavy menstrual flow painful menstruation,General
leg pain hip pain hand or finger pain hand or finger swelling arm pain ankle pain,Musculoskeletal
involuntary urination blood in urine hot flashes intermenstrual bleeding,General
"vaginal itching abnormal appearing skin fluid retention skin dryness, peeling, scaliness, or roughness skin rash",Skin
dizziness headache facial pain double vision back pain disturbance of memory rib pain,General
leg pain hip pain arm pain knee pain foot or toe pain ankle pain shoulder pain,Musculoskeletal
anxiety and nervousness depressive or psychotic symptoms insomnia smoking problems excessive anger delusions or hallucinations obsessions and compulsions,Mental
sharp chest pain vomiting nausea back pain burning abdominal pain hemoptysis,Digestive
abnormal appearing skin irregular appearing scalp skin irritation warts,Skin
leg pain hand or finger pain wrist pain arm pain foot or toe pain ankle pain elbow pain loss of sensation shoulder pain hand or finger weakness,General
anxiety and nervousness depression depressive or psychotic symptoms restlessness,Mental
vomiting heartburn lower body pain upper abdominal pain,Digestive
"foot or toe pain foot or toe swelling swollen eye skin dryness, peeling, scaliness, or roughness skin on arm or hand looks infected",Skin
throat swelling arm pain neck stiffness or tightness,Musculoskeletal
anxiety and nervousness depression abusing alcohol hostile behavior delusions or hallucinations temper problems,Mental
leg pain hip pain back pain neck pain low back pain loss of sensation groin pain back cramps or spasms back stiffness or tightness,Musculoskeletal
suprapubic pain nausea vaginal itching painful urination vaginal discharge,General
groin mass vomiting nausea intermenstrual bleeding back pain side pain,Digestive
leg pain back pain side pain,Musculoskeletal
skin swelling abnormal appearing skin acne or pimples skin growth skin rash,Skin
sharp chest pain cough vomiting wheezing fever difficulty breathing chills,Respiratory
skin swelling abnormal appearing skin peripheral edema leg swelling skin rash,Skin
anxiety and nervousness depression insomnia acne or pimples difficulty eating,Mental
anxiety and nervousness insomnia excessive anger delusions or hallucinations fears and phobias hysterical behavior,Mental
anxiety and nervousness depression abusing alcohol drug abuse excessive anger disturbance of memory,Mental
sharp abdominal pain lower abdominal pain intermenstrual bleeding pelvic pain burning abdominal pain problems during pregnancy spotting or bleeding during pregnancy cramps and spasms uterine contractions,General
cough nasal congestion fever redness in ear,Respiratory
blood in stool jaundice sharp abdominal pain diarrhea peripheral edema heartburn weakness upper abdominal pain,Digestive
abnormal appearing skin skin lesion skin growth bones are painful arm lump or mass,Skin
leg pain hip pain back pain low back pain problems with movement loss of sensation paresthesia,Musculoskeletal
diminished hearing facial pain ear pain,Musculoskeletal
skin swelling groin mass skin lesion,Skin
sharp chest pain sharp abdominal pain nausea back pain heartburn lower body pain regurgitation.1,Digestive
anxiety and nervousness depression depressive or psychotic symptoms excessive anger temper problems loss of sex drive,Mental
lip swelling neck swelling gum pain mouth pain,General
sharp chest pain chest tightness sore throat cough wheezing fever coryza congestion in chest,Respiratory
hip pain neck pain low back pain leg cramps or spasms,Musculoskeletal
vaginal itching abnormal appearing skin problems during pregnancy allergic reaction fluid retention itching of skin,Skin
fainting excessive anger temper problems low self-esteem obsessions and compulsions antisocial behavior low urine output,Mental
skin swelling hand or finger swelling lip swelling peripheral edema leg swelling itching of skin,Skin
cough difficulty breathing,Respiratory
sharp abdominal pain vaginal dryness lower body pain changes in stool appearance constipation,Digestive
hand or finger swelling skin lesion foot or toe swelling skin rash,Skin
depression depressive or psychotic symptoms insomnia abusing alcohol excessive anger fears and phobias,Mental
"abnormal appearing skin skin lesion irregular appearing scalp itching of skin skin dryness, peeling, scaliness, or roughness skin irritation",Skin
dizziness blood in stool fainting vomiting nausea melena,Digestive
depression insomnia drug abuse delusions or hallucinations,Mental
skin swelling skin lesion acne or pimples skin growth irregular appearing scalp itching of skin skin irritation,Skin
vomiting nausea burning abdominal pain side pain upper abdominal pain regurgitation.1 symptoms of the kidneys,Digestive
diminished vision foreign body sensation in eye lacrimation swollen eye eyelid swelling,General
blood in stool sharp abdominal pain vomiting nausea diarrhea side pain chills constipation,Digestive
sharp abdominal pain lower abdominal pain pelvic pain vaginal pain spotting or bleeding during pregnancy cramps and spasms,General
"abnormal appearing skin skin lesion acne or pimples symptoms of eye lymphedema skin dryness, peeling, scaliness, or roughness",Skin
symptoms of the scrotum and testes headache back pain neck pain low back pain bones are painful lower body pain,Musculoskeletal
leg pain knee pain ankle pain knee swelling problems with movement knee stiffness or tightness foot or toe swelling irregular appearing nails ankle swelling,Musculoskeletal
skin swelling skin moles,Skin
knee pain ankle pain knee swelling knee stiffness or tightness leg swelling foot or toe swelling ankle swelling,Musculoskeletal
cough diarrhea symptoms of infants decreased appetite temper problems,General
shortness of breath cough nasal congestion headache wheezing sleepiness,Respiratory
depression depressive or psychotic symptoms abusing alcohol drug abuse excessive anger temper problems,Mental
depressive or psychotic symptoms dizziness irritable infant,General
shortness of breath mouth dryness weight gain difficulty breathing apnea abnormal breathing sounds,Respiratory
difficulty speaking headache arm stiffness or tightness weakness loss of sensation slurring words,General
sore throat cough nasal congestion headache wheezing abnormal breathing sounds,Respiratory
symptoms of eye foreign body sensation in eye lacrimation,General
shortness of breath sharp chest pain feeling ill hemoptysis apnea,Respiratory
skin swelling skin lesion acne or pimples skin rash,Skin
vomiting fever skin rash,Skin
blood in stool sharp abdominal pain vomiting blood peripheral edema,Digestive
sharp abdominal pain nausea lower abdominal pain burning abdominal pain upper abdominal pain,Digestive
anxiety and nervousness depression shortness of breath abnormal involuntary movements burning abdominal pain,Mental
"skin swelling skin lesion acne or pimples skin dryness, peeling, scaliness, or roughness itchy scalp too little hair skin rash",Skin
anxiety and nervousness depression depressive or psychotic symptoms abusing alcohol hostile behavior drug abuse temper problems,Mental
depressive or psychotic symptoms sharp abdominal pain,General
sharp abdominal pain painful urination long menstrual periods unpredictable menstruation,General
chest tightness sore throat cough nasal congestion wheezing,Respiratory
leg pain low back pain problems with movement,Musculoskeletal
abusing alcohol lip swelling peripheral edema,Musculoskeletal
hand or finger pain wrist swelling hand or finger stiffness or tightness elbow pain paresthesia arm weakness,Musculoskeletal
vomiting nausea abnormal appearing skin skin rash,Skin
nasal congestion wheezing difficulty breathing,Respiratory
acne or pimples skin growth foot or toe pain foot or toe swelling skin rash,Skin
shortness of breath cough nasal congestion vomiting difficulty breathing coryza,Respiratory
"skin swelling abnormal appearing skin skin lesion skin dryness, peeling, scaliness, or roughness itchy scalp",Skin
sharp chest pain palpitations feeling ill apnea,Respiratory
anxiety and nervousness depression depressive or psychotic symptoms insomnia excessive anger delusions or hallucinations temper problems fears and phobias low self-esteem,Mental
shortness of breath cough irritable infant vomiting wheezing fever pulling at ears,Respiratory
"hip pain back pain bones are painful disturbance of memory leg cramps or spasms muscle cramps, contractures, or spasms early or late onset of menopause",Musculoskeletal
shortness of breath sharp chest pain hip pain back pain bones are painful ache all over rib pain back mass or lump hurts to breath,Musculoskeletal
blood in stool lower body pain changes in stool appearance melena constipation itching of the anus,Digestive
headache ear pain fever painful sinuses nosebleed,Respiratory
anxiety and nervousness depression difficulty speaking abusing alcohol drug abuse excessive anger delusions or hallucinations fears and phobias,Mental
wrist pain wrist swelling elbow pain,Musculoskeletal
sharp chest pain facial pain pain in eye peripheral edema,Respiratory
sharp chest pain drug abuse back pain shoulder pain hurts to breath,Respiratory
diarrhea swollen lymph nodes burning abdominal pain,Digestive
"joint pain itching of skin skin dryness, peeling, scaliness, or roughness skin rash",Skin
shortness of breath chest tightness sharp abdominal pain vomiting nausea heartburn upper abdominal pain,Digestive
blood in stool sharp abdominal pain vomiting diarrhea lower abdominal pain heartburn upper abdominal pain melena,Digestive
shortness of breath cough throat swelling infant spitting up,Respiratory
suprapubic pain vaginal itching painful urination involuntary urination frequent urination vaginal discharge blood in urine,General
anxiety and nervousness depression abusing alcohol smoking problems sweating,Mental
blood in stool nausea upper abdominal pain,Digestive
leg pain hand or finger pain arm pain back pain low back pain ache all over,Musculoskeletal
chest tightness irregular heartbeat peripheral edema weakness,General
cough nasal congestion diarrhea symptoms of infants ear pain decreased appetite redness in ear,General
shortness of breath sharp chest pain hip pain back pain bones are painful back mass or lump hurts to breath,Musculoskeletal
shortness of breath sharp chest pain abusing alcohol smoking problems excessive anger hemoptysis,Mental
wrist pain wrist swelling foot or toe pain ankle pain knee swelling leg swelling joint pain,Musculoskeletal
depressive or psychotic symptoms difficulty speaking abusing alcohol,Mental
"abnormal appearing skin skin growth skin moles skin dryness, peeling, scaliness, or roughness warts",Skin
anxiety and nervousness depression depressive or psychotic symptoms excessive appetite excessive anger delusions or hallucinations,Mental
cough blood in stool irritable infant temper problems pulling at ears,Skin
skin swelling lip swelling abnormal appearing skin skin growth skin moles warts,Skin
abnormal involuntary movements weakness disturbance of memory paresthesia,General
depression abusing alcohol hostile behavior drug abuse excessive anger temper problems,Mental
skin swelling skin growth irregular appearing scalp irregular appearing nails,Skin
dizziness irregular heartbeat fainting weight gain fatigue,General
arm pain neck pain loss of sensation hand or finger weakness,Musculoskeletal
sharp abdominal pain intermenstrual bleeding problems during pregnancy cramps and spasms uterine contractions,General
cough facial pain frontal headache fever,Respiratory
difficulty in swallowing apnea abnormal breathing sounds,Respiratory
vaginal itching lower abdominal pain vaginal discharge painful menstruation,General
cough wheezing fever coryza abnormal breathing sounds pulling at ears,Respiratory
cough nasal congestion difficulty in swallowing chills skin rash,Respiratory
skin swelling allergic reaction fluid retention,General
cough nasal congestion chills,Respiratory
sharp abdominal pain nausea diarrhea peripheral edema weakness side pain unusual color or odor to urine,Digestive
depressive or psychotic symptoms drug abuse vomiting blood smoking problems low self-esteem,Mental
headache weakness focal weakness symptoms of the face,General
arm pain low back pain shoulder pain arm weakness,Musculoskeletal
depression depressive or psychotic symptoms insomnia acne or pimples weight gain difficulty eating,Mental
depressive or psychotic symptoms seizures constipation temper problems long menstrual periods,Mental
anxiety and nervousness depressive or psychotic symptoms abusing alcohol delusions or hallucinations fears and phobias,Mental
shortness of breath sharp chest pain irregular heartbeat fainting peripheral edema difficulty breathing,General
"abnormal appearing skin acne or pimples swollen eye skin dryness, peeling, scaliness, or roughness skin irritation",Skin
skin lesion skin growth symptoms of the face skin rash,Skin
sore throat swollen lymph nodes ear pain shoulder swelling,General
jaundice diarrhea side pain upper abdominal pain,Digestive
shortness of breath depressive or psychotic symptoms dizziness nausea weakness decreased heart rate,General
skin swelling toothache jaw swelling neck swelling gum pain mouth pain pain in gums,General
arm stiffness or tightness neck swelling bones are painful shoulder pain shoulder swelling,Musculoskeletal
leg pain back pain neck pain low back pain paresthesia lower body pain joint pain,Musculoskeletal
blood in stool sharp abdominal pain heartburn changes in stool appearance rectal bleeding constipation,Digestive
blood in stool vomiting vomiting blood weakness melena rectal bleeding,Digestive
blood in stool diarrhea vomiting blood weakness changes in stool appearance rectal bleeding,Digestive
dizziness vomiting headache nausea peripheral edema itching of skin,Skin
depression depressive or psychotic symptoms insomnia delusions or hallucinations temper problems hysterical behavior,Mental
depressive or psychotic symptoms insomnia abusing alcohol disturbance of memory,Mental
hip pain arm pain low back pain paresthesia shoulder pain lower body pain joint pain,Musculoskeletal
leg pain ankle pain ankle swelling ankle weakness,Musculoskeletal
leg pain hand or finger pain skin growth foot or toe pain knee swelling knee lump or mass wrist lump or mass,Musculoskeletal
sharp chest pain jaundice sharp abdominal pain chills,Digestive
shortness of breath hoarse voice nasal congestion,Respiratory
sharp abdominal pain headache nausea diarrhea burning abdominal pain decreased appetite fever,Digestive
hoarse voice sore throat cough nasal congestion vomiting fever,Respiratory
hot flashes long menstrual periods unpredictable menstruation,General
shortness of breath suprapubic pain feeling ill vomiting weakness fever chills,General
leg pain knee pain foot or toe pain ankle pain knee swelling problems with movement irregular appearing nails ankle swelling,Musculoskeletal
cough nasal congestion pain in eye fever swollen eye,General
abusing alcohol sharp abdominal pain nausea burning abdominal pain side pain lower body pain upper abdominal pain hemoptysis,Digestive
irritable infant vomiting wheezing decreased appetite fever hurts to breath,Respiratory
"headache neck pain muscle cramps, contractures, or spasms",Musculoskeletal
shortness of breath back pain bones are painful side pain shoulder pain ache all over back mass or lump,Musculoskeletal
leg pain sharp abdominal pain vomiting nausea lower abdominal pain,Musculoskeletal
arm pain back pain loss of sensation shoulder pain arm weakness leg weakness,Musculoskeletal
hip pain sharp abdominal pain pelvic pain knee pain ache all over,Musculoskeletal
blood in stool vomiting diarrhea temper problems skin rash diaper rash,Skin
leg pain hip pain low back pain lower body pain,Musculoskeletal
sharp chest pain insomnia palpitations increased heart rate,Mental
cough difficulty breathing hemoptysis sweating,Respiratory
depression depressive or psychotic symptoms hostile behavior drug abuse excessive anger temper problems,Mental
sharp abdominal pain nausea vaginal discharge vaginal pain side pain cramps and spasms,General
arm pain low back pain ache all over,Musculoskeletal
shortness of breath sore throat nasal congestion fever difficulty breathing coryza,Respiratory
leg pain arm pain arm stiffness or tightness elbow pain knee swelling,Musculoskeletal
hand or finger swelling wrist swelling skin growth,Musculoskeletal
diminished hearing headache ear pain plugged feeling in ear itchy ear(s),General
sharp chest pain weakness side pain rib pain,Respiratory
hip pain,Musculoskeletal
throat swelling difficulty in swallowing vomiting infant spitting up,Respiratory
knee pain ankle pain knee weakness problems with movement leg swelling leg stiffness or tightness,Musculoskeletal
difficulty speaking throat swelling throat feels tight,Respiratory
lack of growth hostile behavior temper problems antisocial behavior,Mental
shortness of breath sharp chest pain cough leg pain sweating,Respiratory
hand or finger swelling abnormal appearing skin skin on leg or foot looks infected sinus congestion,Skin
abnormal involuntary movements hoarse voice,General
cough leg swelling weakness hurts to breath,General
difficulty in swallowing headache neck mass jaw swelling,Musculoskeletal
sharp chest pain cough leg swelling weakness decreased heart rate,Respiratory
shortness of breath cough wheezing fever sleepiness,Respiratory
"abnormal appearing skin irregular appearing scalp skin dryness, peeling, scaliness, or roughness skin irritation warts",Skin
depressive or psychotic symptoms drug abuse headache,Mental
sharp chest pain hoarse voice cough difficulty in swallowing sharp abdominal pain nausea burning abdominal pain,Digestive
depression depressive or psychotic symptoms irregular appearing scalp eye burns or stings disturbance of memory delusions or hallucinations,Mental
chest tightness hoarse voice cough difficulty in swallowing nausea burning abdominal pain,Digestive
shortness of breath sore throat cough vomiting,Respiratory
abnormal appearing skin skin growth neck swelling foot or toe swelling skin on arm or hand looks infected,Skin
leg pain hip pain low back pain stiffness all over,Musculoskeletal
diminished vision lacrimation eye burns or stings mass on eyelid,General
fainting restlessness excessive anger temper problems obsessions and compulsions antisocial behavior low urine output,Mental
blood in stool vomiting diarrhea,Digestive
hand or finger pain wrist pain arm pain hand or finger stiffness or tightness shoulder pain joint pain,Musculoskeletal
sore throat nasal congestion diminished hearing lump in throat redness in ear throat redness,Respiratory
cough ear pain fever difficulty breathing sinus congestion,Respiratory
dizziness difficulty speaking headache facial pain disturbance of memory,General
"lip swelling skin lesion skin growth skin moles skin dryness, peeling, scaliness, or roughness skin irritation warts",Skin
abnormal appearing skin skin lesion acne or pimples irregular appearing scalp,Skin
knee pain knee lump or mass wrist lump or mass,Musculoskeletal
anxiety and nervousness depression depressive or psychotic symptoms drug abuse intermenstrual bleeding pain during pregnancy excessive anger problems during pregnancy delusions or hallucinations,Mental
groin mass skin lesion skin growth skin moles itching of skin,Skin
hip pain arm pain back pain loss of sensation paresthesia shoulder pain arm weakness,Musculoskeletal
groin mass symptoms of the scrotum and testes sharp abdominal pain lower abdominal pain ache all over upper abdominal pain,Digestive
shortness of breath sharp chest pain chest tightness cough nasal congestion,Respiratory
abnormal appearing skin skin moles skin irritation,Skin
depressive or psychotic symptoms restlessness excessive anger delusions or hallucinations temper problems,Mental
depressive or psychotic symptoms delusions or hallucinations temper problems fears and phobias low self-esteem,Mental
lack of growth skin lesion irregular appearing scalp skin moles skin rash,Skin
"skin swelling abnormal appearing skin acne or pimples skin moles itching of skin skin dryness, peeling, scaliness, or roughness",Skin
depression hostile behavior focal weakness slurring words disturbance of memory,Mental
anxiety and nervousness depressive or psychotic symptoms abusing alcohol obsessions and compulsions,Mental
shortness of breath hoarse voice sore throat cough vomiting wheezing abnormal breathing sounds,Respiratory
nausea abnormal appearing skin peripheral edema allergic reaction,Skin
depressive or psychotic symptoms insomnia abusing alcohol difficulty eating,Mental
nasal congestion facial pain fever painful sinuses nosebleed,Respiratory
sharp chest pain nasal congestion paresthesia fever,Respiratory
depression fears and phobias low self-esteem,Mental
abnormal appearing skin irregular appearing scalp skin irritation,Skin
palpitations blood in stool pain during pregnancy problems during pregnancy uterine contractions,General
nasal congestion difficulty breathing coryza pulling at ears hurts to breath,Respiratory
skin swelling irregular appearing scalp joint pain itchy scalp skin rash,Skin
abnormal appearing skin symptoms of eye itching of skin,Skin
arm pain neck swelling bones are painful shoulder swelling,Musculoskeletal
shortness of breath dizziness irregular heartbeat decreased heart rate,General
shortness of breath abnormal involuntary movements mouth dryness difficulty breathing apnea,Respiratory
"allergic reaction itching of skin skin dryness, peeling, scaliness, or roughness skin irritation warts skin rash",Skin
shortness of breath weakness difficulty breathing rib pain hurts to breath,Respiratory
anxiety and nervousness depressive or psychotic symptoms abusing alcohol excessive anger disturbance of memory temper problems,Mental
chest tightness leg pain side pain hemoptysis,Respiratory
sharp abdominal pain vomiting blood regurgitation upper abdominal pain abdominal distention regurgitation.1,Digestive
abnormal appearing skin skin moles itching of skin skin irritation,Skin
skin swelling abnormal appearing skin skin lesion neck mass skin moles hand or finger lump or mass back mass or lump,Skin
anxiety and nervousness abusing alcohol temper problems hysterical behavior,Mental
